Product_ID,Category,Price,Discount_Percentage,Promotion_Type,Units_Sold,Store_Location,Season,Customer_Segment,Date,Revenue,Competitor_Price,Ad_Spend,Stock_Availability,Customer_Rating,Returns,Discounted_Price
PROD000001,Electronics,214.41,0.0,Discount,4.0,Florida,Fall,Premium,2022-08-29,857.64,297.93,516.68,In Stock,,1.0,214.41
PROD000001,Electronics,226.58,20.0,Discount,3.0,New York,Fall,Loyalty,2022-03-02,543.792,257.77,925.6,In Stock,,1.0,181.264
PROD000001,Groceries,151.68,20.0,BOGO,5.0,New York,Fall,Premium,2022-12-13,606.72,137.79,95.27,In Stock,4.0,0.0,121.34400000000001
PROD000001,Clothing,432.53,20.0,Discount,2.0,New York,Winter,Loyalty,2023-03-07,692.048,156.53,527.66,In Stock,4.0,1.0,346.024
PROD000001,Clothing,81.36,0.0,Discount,5.0,Illinois,Winter,Loyalty,2023-09-11,406.8,287.36,155.03,In Stock,2.0,0.0,81.36
PROD000001,Clothing,213.69,15.0,BOGO,1.0,Illinois,Winter,Loyalty,2023-11-10,181.63649999999998,178.45,229.39,In Stock,3.0,2.0,181.63649999999998
PROD000001,Electronics,461.15,20.0,BOGO,,Illinois,Summer,Regular,2023-09-04,,275.22,570.49,Out of Stock,1.0,,368.92
PROD000001,Beauty,12.94,10.0,Discount,4.0,Florida,Winter,Premium,2022-02-05,46.583999999999996,326.12,484.9,Out of Stock,1.0,,11.645999999999999
PROD000001,Electronics,102.39,20.0,Discount,,New York,Winter,Premium,2023-06-01,,32.32,795.81,In Stock,3.0,,81.912
PROD000001,Beauty,400.89,15.0,None,2.0,Illinois,Summer,Loyalty,2022-11-27,681.5129999999999,183.66,521.19,In Stock,,,340.75649999999996
PROD000011,Furniture,36.13,0.0,BOGO,4.0,New York,Fall,Premium,2022-12-09,144.52,11.35,673.52,In Stock,1.0,,36.13
PROD000012,Electronics,254.46,,None,2.0,Florida,Winter,Loyalty,2023-04-03,508.92,118.08,403.43,Out of Stock,1.0,,254.46
PROD000013,Electronics,18.45,5.0,BOGO,3.0,New York,Summer,Regular,2023-10-08,52.582499999999996,466.54,648.53,Out of Stock,4.0,,17.5275
PROD000014,Electronics,190.36,5.0,Discount,5.0,Illinois,Winter,Regular,2022-06-14,904.21,341.43,628.71,In Stock,4.0,0.0,180.842
PROD000015,Clothing,103.53,10.0,BOGO,4.0,Florida,Winter,Premium,2023-02-07,372.708,31.06,404.35,In Stock,5.0,2.0,93.177
PROD000016,Clothing,7.16,5.0,Cashback,4.0,Illinois,Spring,Loyalty,2023-07-01,27.208,266.81,181.37,In Stock,5.0,0.0,6.802
PROD000017,Beauty,223.4,20.0,BOGO,3.0,New York,Winter,Premium,2023-10-13,536.1600000000001,413.07,512.6,Out of Stock,1.0,0.0,178.72000000000003
PROD000018,Beauty,341.3,20.0,None,2.0,Texas,Summer,Regular,2022-07-15,546.08,239.82,992.8,In Stock,3.0,,273.04
PROD000019,Electronics,319.23,,Discount,5.0,New York,Spring,Loyalty,2022-06-07,1596.15,105.64,744.27,In Stock,4.0,2.0,319.23
PROD000020,Beauty,49.63,10.0,Discount,1.0,Illinois,Fall,Loyalty,2022-08-29,44.667,495.16,45.14,In Stock,4.0,0.0,44.667
PROD000021,Clothing,251.04,0.0,None,,Texas,Winter,Premium,2023-10-04,,203.47,378.7,Out of Stock,4.0,2.0,251.04
PROD000022,Beauty,51.48,20.0,BOGO,3.0,California,Fall,Regular,2022-08-22,123.55199999999999,245.46,450.78,Out of Stock,,0.0,41.184
PROD000023,Furniture,214.51,15.0,Discount,5.0,Florida,Fall,Regular,2022-11-24,911.6674999999999,261.42,964.7,Out of Stock,1.0,0.0,182.3335
PROD000024,Clothing,176.7,15.0,Discount,5.0,Texas,Winter,Loyalty,2022-08-25,750.9749999999999,100.26,378.59,Out of Stock,1.0,1.0,150.195
PROD000025,Furniture,222.82,5.0,Discount,4.0,Texas,Spring,Premium,2022-06-24,846.7159999999999,14.47,98.21,Out of Stock,2.0,2.0,211.67899999999997
PROD000026,Beauty,35.61,,Discount,5.0,Texas,Summer,Premium,2023-01-04,178.05,225.06,189.68,In Stock,2.0,0.0,35.61
PROD000027,Groceries,68.83,5.0,BOGO,1.0,New York,Winter,Loyalty,2022-06-08,65.3885,403.86,607.53,In Stock,,,65.3885
PROD000028,Electronics,131.55,15.0,Cashback,3.0,Florida,Fall,Regular,2023-07-13,335.45250000000004,261.58,695.97,In Stock,3.0,0.0,111.81750000000001
PROD000029,Clothing,42.15,,Cashback,1.0,California,Spring,Regular,2023-11-27,42.15,218.16,373.94,Out of Stock,4.0,0.0,42.15
PROD000030,Furniture,126.42,,Cashback,2.0,California,Winter,Loyalty,2022-06-05,252.84,350.77,347.37,Out of Stock,5.0,1.0,126.42
PROD000031,Groceries,166.57,15.0,None,1.0,Illinois,Summer,Loyalty,2023-11-21,141.5845,226.79,919.43,In Stock,3.0,,141.5845
PROD000032,Groceries,223.96,5.0,Cashback,5.0,Illinois,Spring,Loyalty,2022-06-28,1063.81,152.6,897.6,In Stock,,2.0,212.762
PROD000033,Clothing,136.35,20.0,BOGO,1.0,New York,Spring,Premium,2023-04-26,109.08,36.26,541.36,Out of Stock,5.0,,109.08
PROD000034,Clothing,356.28,0.0,Cashback,,Illinois,Winter,Regular,2023-02-27,,423.21,790.76,In Stock,,,356.28
PROD000035,Groceries,484.47,0.0,Discount,2.0,Florida,Fall,Regular,2023-05-30,968.94,291.94,731.98,In Stock,5.0,1.0,484.47
PROD000036,Electronics,367.3,15.0,Discount,4.0,Texas,Winter,Loyalty,2022-12-14,1248.82,355.5,918.23,Out of Stock,2.0,1.0,312.205
PROD000037,Electronics,,15.0,Cashback,1.0,New York,Summer,Premium,2022-12-15,157.981,89.0,772.11,Out of Stock,5.0,1.0,157.981
PROD000038,Furniture,53.05,15.0,None,,Florida,Fall,Loyalty,2023-03-05,,441.91,214.93,In Stock,4.0,2.0,45.092499999999994
PROD000039,Electronics,406.77,15.0,Discount,2.0,California,Fall,Premium,2022-07-22,691.5089999999999,231.04,913.78,In Stock,2.0,0.0,345.75449999999995
PROD000040,Groceries,348.73,,Cashback,5.0,New York,Winter,Regular,2023-11-16,1743.65,281.0,471.61,Out of Stock,1.0,,348.73
PROD000041,Groceries,493.82,15.0,BOGO,2.0,California,Summer,Loyalty,2022-06-30,839.4939999999999,59.9,308.45,Out of Stock,2.0,,419.74699999999996
PROD000042,Beauty,236.43,20.0,None,4.0,Florida,Summer,Loyalty,2023-02-06,756.576,301.52,516.64,Out of Stock,1.0,0.0,189.144
PROD000043,Groceries,31.94,15.0,None,5.0,Texas,Spring,Loyalty,2023-08-15,135.745,274.04,125.24,Out of Stock,2.0,,27.149
PROD000044,Electronics,362.73,15.0,BOGO,1.0,California,Winter,Loyalty,2023-12-14,308.3205,430.67,343.12,Out of Stock,1.0,0.0,308.3205
PROD000045,Furniture,65.94,,Discount,1.0,Illinois,Winter,Budget,2023-09-25,65.94,38.18,597.33,In Stock,1.0,0.0,65.94
PROD000046,Beauty,467.12,,Discount,1.0,Illinois,Fall,Budget,2022-06-09,467.12,131.22,524.89,Out of Stock,,1.0,467.12
PROD000047,Electronics,44.58,5.0,Discount,2.0,New York,Spring,Loyalty,2022-11-16,84.702,305.15,193.46,In Stock,1.0,1.0,42.351
PROD000048,Furniture,323.28,,Discount,4.0,New York,Winter,Regular,2023-11-19,1293.12,87.47,129.15,Out of Stock,4.0,1.0,323.28
PROD000049,Electronics,264.73,20.0,None,2.0,New York,Winter,Budget,2022-07-30,423.56800000000004,133.56,486.93,In Stock,4.0,2.0,211.78400000000002
PROD000050,Beauty,289.91,15.0,BOGO,,Texas,Spring,Loyalty,2023-01-16,,471.61,513.43,In Stock,,1.0,246.42350000000002
PROD000051,Groceries,201.94,0.0,BOGO,4.0,New York,Summer,Budget,2023-08-12,807.76,369.17,406.61,Out of Stock,5.0,2.0,201.94
PROD000052,Beauty,482.39,20.0,Discount,2.0,Texas,Fall,Premium,2023-08-14,771.8240000000001,89.5,899.64,In Stock,2.0,2.0,385.91200000000003
PROD000053,Groceries,468.68,0.0,BOGO,4.0,New York,Summer,Premium,2022-03-30,1874.72,257.47,797.48,In Stock,3.0,,468.68
PROD000054,Beauty,424.57,20.0,Discount,,Illinois,Fall,Premium,2022-08-11,,487.86,886.29,Out of Stock,5.0,,339.656
PROD000055,Clothing,205.28,0.0,Cashback,5.0,Florida,Spring,Premium,2023-09-20,1026.4,407.9,182.36,Out of Stock,,1.0,205.28
PROD000056,Electronics,111.33,10.0,None,2.0,California,Summer,Loyalty,2022-04-24,200.394,398.95,495.84,Out of Stock,1.0,,100.197
PROD000057,Electronics,168.4,,Cashback,3.0,New York,Summer,Premium,2023-07-30,505.20000000000005,256.14,577.53,Out of Stock,1.0,1.0,168.4
PROD000058,Clothing,443.16,20.0,Cashback,,New York,Winter,Loyalty,2023-01-10,,445.28,401.01,Out of Stock,2.0,1.0,354.528
PROD000059,Groceries,279.1,15.0,Discount,5.0,New York,Summer,Loyalty,2023-07-13,1186.1750000000002,94.48,606.88,Out of Stock,4.0,,237.235
PROD000060,Electronics,101.43,10.0,BOGO,5.0,New York,Summer,Premium,2022-06-20,456.43500000000006,221.46,53.81,Out of Stock,5.0,2.0,91.287
PROD000061,Clothing,164.52,15.0,BOGO,3.0,Texas,Spring,Loyalty,2022-11-23,419.52600000000007,24.24,875.21,In Stock,2.0,2.0,139.842
PROD000062,Electronics,305.6,20.0,Cashback,3.0,Illinois,Fall,Premium,2023-01-08,733.44,360.08,912.88,In Stock,2.0,0.0,244.48000000000002
PROD000063,Furniture,135.6,20.0,Discount,,Illinois,Summer,Regular,2022-12-08,,338.19,496.57,Out of Stock,3.0,0.0,108.48
PROD000064,Groceries,336.92,20.0,Discount,1.0,Texas,Summer,Premium,2022-06-09,269.536,486.81,272.41,Out of Stock,3.0,2.0,269.536
PROD000065,Furniture,,5.0,Cashback,3.0,California,Winter,Premium,2022-02-22,663.1949999999999,384.49,349.88,Out of Stock,1.0,1.0,221.06499999999997
PROD000066,Groceries,275.73,5.0,Discount,2.0,Texas,Summer,Loyalty,2022-12-17,523.8870000000001,178.55,246.82,Out of Stock,3.0,,261.94350000000003
PROD000067,Clothing,8.42,0.0,Discount,4.0,Florida,Winter,Regular,2022-04-09,33.68,276.25,600.39,Out of Stock,1.0,2.0,8.42
