Transaction_ID,Customer_ID,Product_ID,Store_ID,Quantity,Price_per_unit,Discount,Transaction_Date,Payment_Method,Customer_Age,Customer_Gender,State,ZIP_Code,Product_Category,Loyalty_Card_Status,Review_Rating
TID000001,CUST9999,PROD426,STORE29,2.0,176.35,15.0,2022-12-12,Cash,67.0,,California,73301,,Active,
TID000002,CUST9999,PROD840,STORE32,4.0,136.07,20.0,2023-10-28,,28.0,Female,California,10001,Furniture,Active,4.0
TID000003,CUST9999,PROD571,STORE34,5.0,402.34,,2022-03-13,Debit Card,,Female,Florida,73301,Furniture,Active,1.0
TID000004,CUST9999,PROD226,STORE11,5.0,324.9,,2022-05-13,Cash,36.0,Female,Texas,10001,Groceries,Inactive,2.0
TID000005,CUST9999,PROD686,STORE62,2.0,132.55,,2022-11-25,,,Male,California,10001,Clothing,,
TID000006,CUST9999,PROD852,STORE34,3.0,89.71,20.0,2022-11-06,Credit Card,39.0,Male,Florida,33101,Clothing,Inactive,
TID000007,CUST9999,PROD181,STORE54,4.0,388.06,,2022-07-29,Cash,69.0,Female,,90210,,Expired,
TID000008,CUST9999,PROD876,STORE63,5.0,91.19,10.0,2023-02-10,Credit Card,,Male,California,33101,Furniture,Expired,3.0
TID000009,CUST9999,PROD758,STORE70,5.0,392.55,10.0,2023-12-14,Cash,,Female,New York,73301,Electronics,Active,3.0
TID000010,CUST9999,PROD637,STORE36,5.0,461.71,10.0,2022-11-02,Cash,,Female,,73301,Groceries,Inactive,5.0
TID000011,CUST1520,PROD752,STORE92,5.0,340.18,5.0,2022-09-15,Cash,47.0,Female,Texas,,Clothing,Active,5.0
TID000012,CUST1488,PROD689,STORE55,2.0,103.56,0.0,2023-10-31,,27.0,Female,,90210,Groceries,Expired,4.0
TID000013,CUST2535,PROD644,STORE72,3.0,8.6,20.0,2022-10-14,Credit Card,43.0,Female,New York,10001,Electronics,Inactive,3.0
TID000014,CUST4582,PROD507,STORE68,5.0,168.87,10.0,2023-07-19,Debit Card,,Male,Texas,10001,Clothing,Inactive,
TID000015,CUST4811,PROD545,STORE57,,330.51,5.0,2023-11-29,Debit Card,44.0,Male,California,,Clothing,Expired,5.0
TID000016,CUST9279,PROD861,STORE60,,457.07,,2023-09-14,Debit Card,61.0,,Florida,33101,Clothing,Expired,1.0
TID000017,CUST1434,PROD407,STORE89,,126.84,15.0,2022-05-04,,,Male,,90210,Groceries,,3.0
TID000018,CUST4257,PROD967,STORE47,3.0,13.21,15.0,2022-05-18,Gift Card,51.0,,California,73301,Electronics,,
TID000019,CUST9928,PROD835,STORE31,2.0,202.95,0.0,2022-10-27,,61.0,Female,New York,33101,Groceries,,1.0
TID000020,CUST7873,PROD514,STORE87,2.0,41.14,,2023-04-07,Cash,36.0,Female,Texas,10001,Clothing,Inactive,1.0
TID000021,CUST4611,PROD694,STORE76,4.0,71.87,5.0,2023-07-20,Credit Card,,,Florida,73301,,Active,1.0
TID000022,CUST8359,PROD319,STORE49,1.0,491.07,20.0,2022-12-28,Debit Card,,,New York,73301,,,5.0
